year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,MQ,Envoy Air,EVV,"Evansville, IN: Evansville Regional",61.00,9.00,1.52,1.08,0.56,0.00,5.84,0.00,0.00,732.00,47.00,90.00,19.00,0.00,576.00
2024,12,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",107.00,42.00,6.01,5.89,25.16,0.00,4.94,0.00,0.00,2531.00,335.00,491.00,1251.00,0.00,454.00
2024,12,MQ,Envoy Air,EYW,"Key West, FL: Key West International",169.00,31.00,3.37,0.71,11.44,0.00,15.48,5.00,3.00,1596.00,143.00,52.00,468.00,0.00,933.00
2024,12,MQ,Envoy Air,FAR,"Fargo, ND: Hector International",171.00,35.00,4.64,2.12,15.32,0.00,12.92,2.00,0.00,2428.00,245.00,184.00,575.00,0.00,1424.00
2024,12,MQ,Envoy Air,FSD,"Sioux Falls, SD: Joe Foss Field",69.00,14.00,2.00,2.47,4.70,0.00,4.83,1.00,0.00,720.00,86.00,154.00,191.00,0.00,289.00
2024,12,MQ,Envoy Air,FSM,"Fort Smith, AR: Fort Smith Regional",91.00,11.00,1.40,0.94,1.95,0.00,6.71,1.00,0.00,703.00,80.00,70.00,127.00,0.00,426.00
2024,12,MQ,Envoy Air,FWA,"Fort Wayne, IN: Fort Wayne International",90.00,16.00,4.33,1.45,6.07,0.00,4.14,0.00,0.00,864.00,120.00,64.00,190.00,0.00,490.00
2024,12,MQ,Envoy Air,GCK,"Garden City, KS: Garden City Regional",61.00,10.00,3.95,1.17,0.38,0.00,4.51,1.00,1.00,982.00,202.00,67.00,43.00,0.00,670.00
2024,12,MQ,Envoy Air,GJT,"Grand Junction, CO: Grand Junction Regional",73.00,15.00,3.88,0.26,5.37,0.00,5.49,0.00,0.00,992.00,141.00,64.00,154.00,0.00,633.00
2024,12,MQ,Envoy Air,GNV,"Gainesville, FL: Gainesville Regional",47.00,8.00,1.44,0.00,2.91,0.00,3.65,0.00,0.00,419.00,106.00,0.00,126.00,0.00,187.00
2024,12,MQ,Envoy Air,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",29.00,8.00,0.06,0.30,4.08,0.00,3.56,0.00,0.00,699.00,1.00,19.00,284.00,0.00,395.00
2024,12,MQ,Envoy Air,GRK,"Killeen, TX: Robert Gray AAF",130.00,32.00,7.42,4.28,4.87,0.00,15.43,3.00,1.00,1635.00,356.00,308.00,140.00,0.00,831.00
2024,12,MQ,Envoy Air,GRR,"Grand Rapids, MI: Gerald R. Ford International",82.00,23.00,4.94,1.96,6.27,0.00,9.83,0.00,1.00,1584.00,435.00,259.00,259.00,0.00,631.00
2024,12,MQ,Envoy Air,GSO,"Greensboro/High Point, NC: Piedmont Triad International",118.00,31.00,7.96,2.31,9.57,0.00,11.16,1.00,0.00,1433.00,378.00,92.00,327.00,0.00,636.00
2024,12,MQ,Envoy Air,GSP,"Greer, SC: Greenville-Spartanburg International",171.00,31.00,6.92,1.55,9.59,0.00,12.95,2.00,0.00,1380.00,360.00,72.00,365.00,0.00,583.00
2024,12,MQ,Envoy Air,HDN,"Hayden, CO: Yampa Valley",11.00,3.00,0.03,0.12,1.22,0.00,1.62,0.00,0.00,117.00,1.00,8.00,51.00,0.00,57.00
2024,12,MQ,Envoy Air,HHH,"Hilton Head, SC: Hilton Head Airport",77.00,17.00,5.24,1.88,3.24,0.00,6.64,0.00,1.00,915.00,221.00,186.00,97.00,0.00,411.00
2024,12,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",132.00,25.00,5.59,4.10,10.25,0.00,5.06,4.00,0.00,1479.00,236.00,361.00,430.00,0.00,452.00
2024,12,MQ,Envoy Air,HPN,"White Plains, NY: Westchester County",115.00,28.00,8.71,1.92,8.53,0.00,8.84,2.00,1.00,1511.00,365.00,286.00,331.00,0.00,529.00
2024,12,MQ,Envoy Air,HRL,"Harlingen/San Benito, TX: Valley International",123.00,14.00,2.13,2.67,3.63,0.00,5.57,2.00,0.00,1120.00,52.00,545.00,150.00,0.00,373.00
2024,12,MQ,Envoy Air,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",68.00,9.00,2.00,0.99,1.07,0.00,4.94,0.00,0.00,484.00,57.00,111.00,56.00,0.00,260.00
2024,12,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",138.00,14.00,2.44,0.25,6.47,0.00,4.84,5.00,1.00,1227.00,88.00,71.00,529.00,0.00,539.00
2024,12,MQ,Envoy Air,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",120.00,28.00,4.61,2.09,9.00,0.00,12.30,2.00,0.00,1289.00,225.00,90.00,263.00,0.00,711.00
2024,12,MQ,Envoy Air,ILM,"Wilmington, NC: Wilmington International",114.00,24.00,7.19,1.74,6.64,0.00,8.43,1.00,0.00,1479.00,283.00,227.00,276.00,0.00,693.00
2024,12,MQ,Envoy Air,IND,"Indianapolis, IN: Indianapolis International",137.00,35.00,9.15,1.48,6.21,0.00,18.16,0.00,0.00,1597.00,367.00,42.00,172.00,0.00,1016.00
2024,12,MQ,Envoy Air,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",51.00,5.00,0.38,0.70,2.88,0.00,1.04,3.00,0.00,315.00,18.00,60.00,186.00,0.00,51.00
2024,12,MQ,Envoy Air,JAX,"Jacksonville, FL: Jacksonville International",174.00,23.00,5.79,0.00,7.96,0.26,8.99,1.00,0.00,1088.00,271.00,0.00,243.00,13.00,561.00
2024,12,MQ,Envoy Air,LAX,"Los Angeles, CA: Los Angeles International",30.00,2.00,1.00,0.75,0.25,0.00,0.00,0.00,1.00,394.00,217.00,132.00,45.00,0.00,0.00
2024,12,MQ,Envoy Air,LBB,"Lubbock, TX: Lubbock Preston Smith International",108.00,16.00,0.33,3.00,3.10,0.00,9.57,0.00,0.00,1072.00,7.00,168.00,121.00,0.00,776.00
2024,12,MQ,Envoy Air,LEX,"Lexington, KY: Blue Grass",94.00,23.00,4.70,2.63,6.34,0.00,9.33,0.00,0.00,1399.00,184.00,247.00,321.00,0.00,647.00
2024,12,MQ,Envoy Air,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",62.00,7.00,2.76,0.51,0.98,0.00,2.74,2.00,0.00,475.00,79.00,63.00,69.00,0.00,264.00
2024,12,MQ,Envoy Air,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",249.00,50.00,9.64,4.95,17.30,0.00,18.10,0.00,1.00,2883.00,365.00,536.00,611.00,0.00,1371.00
2024,12,MQ,Envoy Air,LRD,"Laredo, TX: Laredo International",152.00,29.00,7.75,2.78,6.73,0.00,11.74,2.00,0.00,1684.00,272.00,393.00,192.00,0.00,827.00
2024,12,MQ,Envoy Air,LSE,"La Crosse, WI: La Crosse Regional",8.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,24.00
2024,12,MQ,Envoy Air,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",185.00,33.00,7.12,3.71,7.57,0.00,14.61,0.00,0.00,2584.00,276.00,608.00,282.00,0.00,1418.00
2024,12,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",77.00,19.00,6.41,1.17,3.77,0.00,7.65,0.00,0.00,834.00,224.00,79.00,134.00,0.00,397.00
2024,12,MQ,Envoy Air,MEM,"Memphis, TN: Memphis International",140.00,29.00,5.81,2.62,6.07,0.00,14.50,0.00,0.00,1917.00,329.00,250.00,265.00,0.00,1073.00
2024,12,MQ,Envoy Air,MFE,"Mission/McAllen/Edinburg, TX: McAllen International",80.00,10.00,1.31,1.09,2.84,0.00,4.76,1.00,0.00,530.00,53.00,30.00,161.00,0.00,286.00
2024,12,MQ,Envoy Air,MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",91.00,5.00,2.06,0.08,0.94,0.00,1.92,3.00,1.00,426.00,56.00,23.00,15.00,0.00,332.00
2024,12,MQ,Envoy Air,MIA,"Miami, FL: Miami International",1464.00,331.00,97.79,10.53,102.07,2.74,117.87,12.00,0.00,21485.00,6383.00,1458.00,3812.00,64.00,9768.00
2024,12,MQ,Envoy Air,MKE,"Milwaukee, WI: General Mitchell International",15.00,2.00,0.75,0.00,0.26,0.00,0.99,0.00,0.00,83.00,42.00,0.00,7.00,0.00,34.00
2024,12,MQ,Envoy Air,MLI,"Moline, IL: Quad Cities International",76.00,11.00,3.64,1.88,0.58,0.00,4.90,1.00,0.00,999.00,76.00,209.00,83.00,0.00,631.00
2024,12,MQ,Envoy Air,MLU,"Monroe, LA: Monroe Regional",75.00,13.00,4.51,2.58,0.99,0.00,4.93,3.00,0.00,635.00,168.00,186.00,69.00,0.00,212.00
2024,12,MQ,Envoy Air,MOB,"Mobile, AL: Mobile Regional",66.00,12.00,5.95,1.07,2.56,0.00,2.42,1.00,0.00,524.00,249.00,83.00,122.00,0.00,70.00
2024,12,MQ,Envoy Air,MQT,"Marquette, MI: Marquette Sawyer Regional",31.00,10.00,1.51,1.52,1.99,0.00,4.98,1.00,0.00,2377.00,111.00,1242.00,166.00,0.00,858.00
2024,12,MQ,Envoy Air,MRY,"Monterey, CA: Monterey Regional",55.00,7.00,3.04,0.00,1.11,0.00,2.85,0.00,1.00,403.00,146.00,0.00,42.00,0.00,215.00
2024,12,MQ,Envoy Air,MSN,"Madison, WI: Dane County Regional-Truax Field",40.00,10.00,3.93,0.17,2.12,0.00,3.78,0.00,0.00,560.00,225.00,4.00,106.00,0.00,225.00
2024,12,MQ,Envoy Air,MSO,"Missoula, MT: Missoula Montana",18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
